time,vx,ay,yaw_rate,steering_angle
15.746030,0.267403,-0.014341,2.437500,2.000000
15.776207,0.284116,-0.012977,1.375000,2.000000
15.806354,0.267403,-0.073574,1.625000,2.000000
15.840240,0.275760,-0.073574,1.625000,2.000000
15.870884,0.284116,0.065649,1.812500,2.000000
15.901057,0.284116,-0.045234,2.062500,3.000000
15.931380,0.275760,0.057048,1.500000,3.000000
15.961570,0.275760,0.068744,1.250000,3.000000
15.991718,0.275760,0.138304,3.000000,4.000000
16.021870,0.275760,0.183174,-4.187500,4.000000
16.052012,0.275760,0.115334,-1.000000,4.000000
16.082132,0.275760,0.138608,-1.000000,4.000000
16.112353,0.275760,0.138608,-1.000000,4.000000
16.142627,0.292472,0.062640,-3.187500,4.000000
16.173171,0.275760,0.128976,-2.062500,4.000000
16.203355,0.267403,0.195661,-3.250000,4.000000
16.233841,0.292472,0.159927,-3.000000,3.000000
16.263957,0.284116,0.170397,-1.625000,3.000000
16.294110,0.275760,0.236947,-2.312500,3.000000
16.324245,0.267403,0.135454,-0.937500,3.000000
16.354353,0.275760,0.135454,-0.937500,3.000000
16.384489,0.275760,0.115910,-2.187500,3.000000
16.414627,0.284116,0.100128,-4.500000,3.000000
16.444896,0.292472,0.082042,-3.187500,3.000000
16.481867,0.292472,0.093263,-0.562500,3.000000
16.512803,0.275760,0.208053,-3.812500,3.000000
16.542965,0.275760,0.135944,-0.875000,2.000000
16.573201,0.284116,0.135944,-0.875000,2.000000
16.603428,0.267403,0.152501,-3.187500,2.000000
16.633605,0.275760,0.114213,-1.375000,1.000000
16.663788,0.267403,0.079567,-9.562500,1.000000
16.693949,0.284116,-0.029785,-0.687500,1.000000
16.724109,0.275760,0.080539,-0.500000,1.000000
16.754253,0.275760,0.118538,-4.687500,1.000000
16.784411,0.275760,0.105359,-2.500000,1.000000
16.815182,0.275760,0.105359,-2.500000,1.000000
16.846164,0.275760,0.144802,-2.062500,1.000000
16.876315,0.267403,0.146248,-1.000000,1.000000
16.907840,0.267403,0.099042,-1.375000,1.000000
16.937994,0.284116,0.030643,-1.375000,1.000000
16.968265,0.292472,0.038192,-0.687500,1.000000
16.998530,0.284116,0.047877,0.312500,0.000000
17.028692,0.284116,0.005272,0.937500,0.000000
17.058859,0.284116,0.005272,0.937500,0.000000
17.089016,0.284116,0.040918,0.875000,0.000000
17.119167,0.284116,0.064612,-0.937500,1.000000
17.149304,0.275760,0.058466,-1.937500,1.000000
17.179449,0.275760,-0.005122,0.562500,0.000000
17.209597,0.300829,-0.074076,0.812500,0.000000
17.239711,0.284116,-0.028979,0.500000,1.000000
17.269851,0.259047,-0.050004,-0.687500,1.000000
17.300017,0.275760,-0.050004,-0.687500,1.000000
17.330245,0.267403,-0.005295,0.375000,1.000000
17.360901,0.267403,0.030405,0.375000,1.000000
17.391051,0.300829,0.005634,0.625000,1.000000
17.421188,0.267403,-0.000609,1.125000,1.000000
17.451349,0.275760,0.003254,1.437500,1.000000
17.481492,0.275760,-0.005617,-1.625000,1.000000
17.511770,0.275760,-0.005617,-1.625000,1.000000
17.541940,0.275760,-0.066914,0.437500,1.000000
17.572097,0.284116,-0.034865,1.625000,1.000000
17.602245,0.267403,-0.095282,0.437500,1.000000
17.632400,0.275760,-0.175636,-0.250000,0.000000
17.662600,0.284116,-0.117074,-0.187500,0.000000
17.694728,0.284116,-0.128767,3.125000,0.000000
17.725799,0.284116,-0.128767,3.125000,0.000000
17.760801,0.292472,-0.087029,1.375000,0.000000
17.791365,0.267403,-0.018822,2.750000,0.000000
17.821582,0.284116,0.061922,2.312500,1.000000
17.852451,0.275760,0.123571,-0.875000,1.000000
17.882622,0.284116,0.123571,-0.875000,1.000000
17.912836,0.267403,0.190770,1.375000,1.000000
17.943009,0.300829,0.169769,0.125000,1.000000
17.983670,0.284116,0.192621,1.375000,1.000000
18.013843,0.259047,0.192621,1.375000,1.000000
18.045772,0.275760,0.160029,0.812500,1.000000
18.075941,0.284116,0.180954,1.375000,1.000000
18.108843,0.292472,0.180954,1.375000,1.000000
18.139270,0.259047,0.156131,1.375000,1.000000
18.169510,0.259047,0.191695,3.312500,1.000000
18.199776,0.292472,0.162996,-1.187500,1.000000
18.229939,0.275760,0.162996,-1.187500,1.000000
18.260148,0.275760,0.223591,1.000000,2.000000
18.290259,0.275760,0.248933,0.562500,2.000000
18.320412,0.284116,0.202424,0.937500,2.000000
18.350568,0.267403,0.138459,1.375000,2.000000
18.380699,0.300829,0.084385,0.812500,2.000000
18.410939,0.267403,0.029746,1.250000,2.000000
18.441759,0.284116,0.063064,2.250000,2.000000
18.471882,0.275760,0.063064,2.250000,2.000000
18.502099,0.275760,0.058968,1.937500,2.000000
18.532315,0.284116,0.036236,3.750000,2.000000
18.562548,0.300829,0.106035,1.625000,2.000000
18.592757,0.267403,0.139706,-1.500000,3.000000
18.622917,0.284116,0.035097,1.625000,3.000000
18.653127,0.284116,0.086930,2.750000,2.000000
18.684175,0.267403,0.028245,0.000000,2.000000
18.715051,0.275760,0.028245,0.000000,3.000000
18.746642,0.267403,0.069316,0.625000,3.000000
18.776795,0.267403,0.118846,-0.687500,3.000000
18.807063,0.267403,0.196958,0.562500,3.000000
18.837485,0.300829,0.203906,-0.437500,3.000000
18.867647,0.267403,0.229218,-0.250000,3.000000
18.897815,0.267403,0.292075,-2.812500,3.000000
18.928233,0.267403,0.292075,-2.812500,3.000000
18.958375,0.275760,0.285219,-3.812500,3.000000
18.988707,0.267403,0.250478,-1.875000,3.000000
19.018884,0.267403,0.252335,-1.312500,3.000000
19.049050,0.275760,0.270186,-1.250000,3.000000
19.080375,0.267403,0.270186,-1.250000,3.000000
19.110540,0.267403,0.112261,-1.500000,3.000000
19.140697,0.284116,0.130120,-2.750000,3.000000
19.171084,0.275760,0.105376,-2.500000,3.000000
19.201245,0.275760,0.149573,-1.312500,3.000000
19.231427,0.275760,0.106808,-0.750000,3.000000
19.261576,0.275760,0.139454,-1.625000,3.000000
19.291741,0.284116,0.139454,-1.625000,3.000000
19.321911,0.267403,0.088138,-2.750000,3.000000
19.352093,0.292472,0.041704,-1.375000,3.000000
19.382409,0.267403,0.033932,-1.187500,3.000000
19.413001,0.284116,0.073510,-1.750000,3.000000
